default,pay_delay_1,pay_delay_2,log_limit,utilization,age,sex,education
0,0,0,10.8198,0.1,28,1,1
1,0,0,12.0436,0.1133,27,2,2
0,1,2,12.2061,0.9862,34,1,1
0,1,2,11.2898,0.1146,23,2,2
0,1,-2,12.4684,-0.0042,60,2,1
0,0,0,11.8494,0.6188,32,1,2
0,0,0,11.2898,0.5306,25,1,1
0,1,-1,12.7657,0.0006,41,1,1
0,0,0,12.5425,0.7456,56,2,2
0,0,0,10.309,0.3005,26,2,3
0,0,0,11.8494,0.171,34,1,1
0,0,0,12.2061,0.5271,37,2,1
0,0,0,12.2061,0.9802,30,2,3
1,2,3,12.2549,0.5514,45,1,3
0,3,2,10.8198,0.2571,57,1,3
0,2,2,10.309,0.8119,41,1,1
0,2,-1,10.8198,0.0078,27,1,2
0,-1,-1,12.5776,0.0043,47,1,3
0,0,0,12.4292,0.5649,34,2,1
0,0,0,11.0021,0.3525,46,2,2
0,0,0,11.6082,0.924,27,2,1
0,-2,-2,12.8213,0.0165,50,1,1
0,-1,2,11.5129,1.0235,27,1,2
0,0,0,11.4076,0.8012,35,2,2
0,0,0,10.8198,0.5608,22,2,2
0,0,0,12.5062,0.1396,37,1,2
0,-1,-1,12.6115,0.0023,30,2,1
0,-1,0,10.8198,0.1713,22,2,2
1,1,-2,10.8198,-0.0142,24,2,1
0,1,-2,12.7939,0.0,29,1,1
1,1,2,11.7753,0.4971,56,1,3
0,-2,-1,11.2898,0.0773,30,1,1
0,1,2,10.8198,0.9772,30,1,2
0,0,0,9.9035,0.8,22,2,2
0,0,0,11.2898,0.9735,29,2,2
0,-1,-1,12.3884,0.0509,37,1,1
0,0,-1,11.2898,0.6201,35,2,3
0,0,0,13.1224,0.1128,47,2,1
1,0,0,11.0021,0.9671,24,2,2
0,0,0,9.9035,0.5321,25,1,2
1,1,2,11.5129,0.1448,38,2,2
0,1,-1,12.7939,0.0073,32,2,1
1,2,2,12.2061,0.9972,47,2,3
0,1,-1,11.7753,0.0,34,2,2
0,1,5,9.9035,1.0852,31,2,2
0,0,0,12.6443,0.1932,32,1,1
1,2,0,11.0021,0.3271,27,2,1
0,-1,-1,12.1007,0.0633,29,2,1
0,-1,-1,12.1007,0.0815,24,2,1
0,0,0,10.8198,0.9558,36,1,2
1,1,2,10.8198,0.7233,24,2,1
0,-2,-2,11.9184,0.0,34,2,2
0,0,0,9.9035,0.9276,22,2,1
0,-2,-2,13.1224,0.0008,34,2,1
1,1,2,10.309,0.967,22,2,3
0,-2,-2,12.1007,0.0042,38,2,1
0,0,0,11.8494,0.1937,31,1,1
0,-1,0,11.8494,0.0959,26,2,1
0,0,0,11.6952,0.8943,26,1,2
0,0,0,12.7939,0.629,48,2,2
0,-1,-1,9.9035,0.0114,43,1,3
0,-1,-1,11.5129,0.0039,47,1,1
1,-1,-1,12.2549,0.0147,41,2,2
1,0,0,11.2898,1.0203,24,2,2
0,-1,-1,12.7068,0.0269,50,2,1
0,0,0,12.3014,0.48,24,1,1
1,1,-2,12.2549,0.0,38,2,1
0,0,0,10.5966,0.9564,43,2,3
0,0,0,10.309,0.9449,39,1,2
0,2,2,13.0605,0.631,27,1,2
0,-1,-1,10.309,0.013,42,1,3
1,1,-2,12.3884,-0.0039,36,2,2
0,2,0,11.2898,0.991,36,1,2
0,0,0,11.6082,0.8181,31,2,3
0,-1,-1,12.6443,0.0046,38,2,1
1,2,2,12.7939,0.2921,40,2,1
0,0,0,12.7068,1.0157,45,2,3
0,0,0,12.6115,0.9721,35,2,2
0,0,0,12.6761,0.2864,33,2,2
1,1,3,10.8198,1.0525,37,2,3
0,0,0,12.0436,0.7669,28,2,1
0,-1,-1,12.7657,0.0093,44,1,3
0,0,0,9.9035,0.8228,37,1,2
1,2,0,10.8198,0.9952,23,1,2
0,1,2,9.9035,0.9577,24,2,3
0,0,0,10.8198,0.7017,24,2,1
1,1,2,9.9035,1.0118,23,1,2
0,0,0,10.8198,2.056,26,1,2
1,2,0,12.1548,0.6832,34,1,2
0,0,0,11.0021,0.97,33,2,2
0,-1,-1,11.2898,0.0998,35,1,1
0,0,0,11.9184,0.8493,27,2,2
0,-2,-2,12.2549,0.0069,31,2,1
1,0,0,12.3884,0.9759,50,2,3
1,0,0,11.8494,0.1382,41,2,2
0,1,2,11.0021,0.3584,28,2,1
0,0,0,10.8198,0.9435,39,1,1
0,0,0,10.8198,0.5331,27,2,2
0,-1,-1,12.1007,0.0174,32,2,1
0,-1,-1,10.309,0.0047,40,2,1
0,0,0,9.9035,0.9908,40,2,2
0,0,-1,12.4292,0.2115,75,2,2
0,0,0,11.5129,0.3777,27,2,2
0,0,0,12.7068,0.1398,25,1,1
0,0,0,10.8198,0.7143,46,1,3
0,1,2,10.8198,1.0173,26,2,2
0,0,0,10.309,0.9747,28,1,2
1,0,0,11.8494,0.7254,26,2,2
0,0,0,11.9829,0.439,28,2,1
0,-1,0,12.8992,0.0488,29,2,2
0,0,0,10.8198,0.554,25,1,2
0,0,-1,11.8494,0.0082,48,2,2
0,-1,-1,11.9829,0.0501,33,2,2
0,0,0,11.5129,0.6217,43,2,3
1,2,0,12.3014,0.9563,48,1,1
0,0,0,13.1422,0.1536,29,2,1
0,0,0,10.8198,0.9855,29,1,2
0,-1,-1,11.9829,0.028,38,2,1
0,-2,-2,12.3458,0.0099,37,2,1
0,-1,-1,11.2898,0.1264,37,2,1
0,-1,-1,11.9184,0.041,25,2,2
0,0,0,9.2103,0.6974,23,1,3
1,0,0,11.7753,0.6846,49,2,3
0,0,0,10.5966,0.8718,48,2,1
1,3,2,10.8198,0.2739,27,1,2
0,0,0,11.5129,0.7,32,1,3
0,-1,2,11.6952,0.009,34,1,1
1,1,-2,12.4684,0.0,58,2,1
0,0,0,12.2061,0.0563,33,2,2
1,-2,-2,12.7939,0.0,28,2,2
0,0,0,11.1563,0.9814,36,2,2
1,2,-1,13.039,0.0004,40,1,1
0,-1,-1,10.8198,0.0231,26,2,1
0,0,0,10.8198,1.0172,33,1,3
0,0,0,12.4292,0.4124,31,2,2
0,0,0,10.309,0.0504,27,2,1
0,0,0,12.5062,0.4724,44,1,2
0,0,0,12.1007,0.9108,30,2,3
0,0,0,11.5129,0.5349,28,2,1
0,0,0,12.3458,0.8484,32,2,3
0,-1,-1,12.2549,0.5255,46,2,1
0,2,0,12.2549,0.2881,38,1,1
0,0,0,12.9945,0.4105,46,2,2
1,2,0,11.5129,0.709,25,2,2
0,0,0,12.3884,0.0365,46,2,2
1,-1,-1,12.5425,0.0032,33,1,1
1,1,-2,10.8198,0.0,22,2,2
0,3,2,10.309,0.0567,43,1,2
1,0,0,9.2103,0.7015,27,1,2
0,1,-2,11.7753,0.0,29,1,1
0,0,0,12.2061,0.9718,31,1,1
0,-1,-1,11.6952,0.014,29,2,2
0,0,0,12.2549,0.682,36,2,2
0,0,0,12.5425,0.2107,36,2,1
1,1,-2,12.6115,0.0,34,1,1
0,0,0,11.5129,0.9921,37,1,2
0,-2,-2,12.9945,0.0,36,2,1
0,0,0,10.8198,0.9988,40,2,3
1,0,0,9.9035,0.5984,25,2,1
0,-1,-1,12.2061,0.0044,27,2,1
0,-2,-2,11.6082,0.0039,26,2,2
0,-1,-1,13.1224,0.021,36,2,2
0,1,-1,12.6115,0.0,27,2,2
1,2,2,10.309,0.324,55,1,3
0,-1,-1,11.0021,0.3474,27,2,1
0,-1,0,12.8992,0.0092,38,2,2
0,0,0,12.1007,0.7961,34,2,2
0,0,0,9.9035,0.5467,40,1,1
1,-1,2,12.2061,0.2622,49,2,3
0,0,0,11.5129,0.5573,27,1,1
1,0,0,11.0021,0.8251,23,1,2
0,0,0,11.6082,0.4347,36,2,2
0,1,-1,12.4684,0.0,53,2,3
0,3,2,10.8198,0.9704,46,2,3
0,1,-2,12.1007,-0.0,29,1,2
1,1,2,11.6082,0.5306,29,1,2
0,0,0,12.7367,0.5064,27,2,1
0,-1,0,10.8198,0.028,24,1,2
1,0,0,12.3458,0.1146,28,2,2
0,0,0,12.7939,0.2584,32,2,2
0,1,-2,12.2549,0.0,43,1,2
1,-1,2,12.3014,0.003,41,2,2
1,2,2,11.0021,0.415,34,2,2
0,-2,-1,12.7367,0.1482,55,1,2
0,2,2,11.9184,0.6657,40,1,1
1,1,-1,12.2061,-0.0009,37,2,2
1,0,0,11.7753,0.0735,40,2,2
0,1,2,11.0021,0.1757,28,2,1
0,1,-2,12.8992,0.0,43,2,2
0,0,0,9.9035,1.0286,27,1,1
0,0,0,12.1548,0.7551,28,2,1
0,0,0,12.4684,0.6034,30,2,1
0,-2,-2,11.8494,0.0028,31,2,2
1,0,0,10.8198,0.9302,31,2,2
0,-1,-1,11.6952,0.0074,34,2,1
0,-2,-2,12.3884,0.0004,30,2,2
0,0,0,10.8198,0.1183,36,1,2
0,-1,2,12.2061,0.012,29,2,1
0,0,0,12.1007,1.5263,39,1,1
0,0,0,12.1007,0.8078,26,2,1
0,-1,-1,11.9829,0.0194,29,2,1
0,-1,-1,11.5129,0.0137,26,2,2
1,0,0,10.8198,0.9416,29,2,2
0,0,0,11.8494,0.9866,31,2,2
1,0,0,10.309,0.5964,26,2,2
0,0,0,11.4076,0.4348,26,1,1
0,1,-2,12.2061,-0.0719,36,1,1
1,1,-2,12.8479,0.0,30,1,1
0,0,0,11.2898,0.9632,43,2,2
0,2,2,10.8198,0.318,58,1,3
1,-1,0,12.1007,0.1538,45,1,2
0,0,0,12.3884,0.5888,26,2,2
0,0,0,12.8479,0.5114,34,1,2
0,0,0,11.6082,0.7614,24,2,4
0,-1,-1,12.4684,0.191,34,1,1
1,4,3,13.1224,1.0155,23,2,2
0,0,0,12.6761,0.2228,30,2,2
0,4,3,10.8198,0.9147,32,1,2
1,1,-2,11.6082,0.0,40,1,1
0,-2,-2,12.3458,0.0033,35,2,1
0,1,-1,12.7068,-0.0,56,2,2
0,0,0,10.8198,0.9433,61,2,2
0,-1,2,9.2103,0.2887,24,1,2
0,1,-2,12.6115,0.0,40,1,1
1,3,2,9.9035,1.0316,32,2,2
1,2,2,12.1007,0.4641,36,1,2
0,-1,-1,11.9829,0.0006,30,1,1
0,0,0,11.4076,0.3811,34,2,1
0,0,0,10.309,0.7662,54,1,3
0,0,0,12.1007,0.9626,46,1,1
0,0,0,10.309,0.6381,58,1,3
0,1,2,10.309,0.6839,43,1,2
0,-1,0,11.8494,0.0774,28,2,1
0,0,0,12.2549,0.333,30,1,1
1,0,0,10.8198,0.4105,31,1,2
0,0,0,11.7753,0.685,29,2,2
1,2,2,10.8198,0.0379,37,2,2
0,0,0,11.8494,0.7185,36,1,3
1,-1,0,12.0436,0.0173,28,2,2
0,0,0,11.2898,0.2827,25,1,2
0,0,0,12.9239,0.8246,42,2,5
0,1,-1,11.2898,0.0,29,2,1
1,-1,0,11.2898,0.7893,73,1,3
0,0,0,11.9184,1.0217,43,1,2
1,-1,-1,12.4684,0.0044,30,1,1
0,1,-2,12.7657,0.0,38,1,1
1,1,-1,12.5425,-0.0047,39,2,2
0,0,0,12.6443,0.3348,44,1,2
0,0,0,11.8494,0.1436,29,2,2
0,-1,-1,12.7939,0.1056,51,1,1
0,0,0,11.8494,1.0173,27,2,1
0,0,0,11.5129,0.4081,38,1,1
0,-2,-2,10.8198,0.0,22,2,2
0,0,0,12.2549,0.4986,30,2,2
0,2,2,11.6952,1.0025,25,2,2
0,0,0,12.3884,0.6515,29,1,1
0,0,0,11.0021,0.6887,42,2,3
1,-1,-1,11.9184,0.0098,41,1,1
0,0,0,10.309,0.9293,48,1,2
1,2,2,11.9829,1.0027,29,2,1
0,-2,-2,12.2061,0.0193,52,1,1
0,0,0,11.6952,0.2206,25,2,2
0,1,2,13.1224,1.0141,37,1,1
0,0,0,12.6761,0.1738,27,2,1
0,0,0,12.5425,0.6014,31,1,1
1,1,2,11.0021,0.4889,23,2,1
0,-1,-1,12.2061,0.001,38,2,1
0,1,-2,12.3458,0.0,32,2,1
1,1,2,12.3458,0.0594,27,2,2
0,-2,-2,13.0815,0.031,41,2,3
0,-1,-1,10.8198,0.45,35,2,3
0,-2,-2,12.2061,0.0359,31,2,1
0,0,0,10.8198,0.2962,30,2,1
0,0,0,10.8198,0.8868,48,1,2
1,1,-2,12.4684,0.0,36,2,1
0,2,0,10.309,0.8422,24,1,1
0,0,0,12.9945,0.3856,29,2,1
0,-1,-1,12.3458,0.0445,38,2,2
1,2,2,12.2061,0.5249,38,1,2
0,0,0,13.1022,0.393,30,2,2
0,-1,-1,11.2898,0.1408,32,2,2
1,2,2,9.9035,0.4776,49,2,3
1,-1,-1,12.0436,0.0012,31,2,1
0,0,0,11.1563,1.0017,27,1,1
0,0,0,12.2549,1.0124,33,2,2
0,0,0,11.4076,1.021,25,2,2
1,0,0,12.8739,0.7817,27,2,1
0,0,0,11.6082,0.4375,29,2,1
0,0,0,13.2708,0.2754,36,2,1
0,0,0,12.7939,0.0256,55,1,3
1,1,2,12.5062,0.8695,32,2,2
0,-1,-1,11.0021,0.2345,27,2,1
0,0,0,11.6082,0.5619,37,1,3
0,0,0,10.8198,1.0209,25,2,1
1,0,0,11.2898,0.9628,23,2,1
0,-1,-1,10.8198,0.007,23,1,2
0,0,0,11.5129,0.8383,32,1,1
0,1,-2,10.309,0.0,26,2,1
0,0,0,12.2061,0.6146,27,2,1
1,0,0,12.3884,1.0256,44,1,1
0,0,0,12.3014,0.1696,34,1,2
0,0,0,11.9829,0.9152,28,2,1
0,-1,-1,12.1007,0.2562,53,2,1
0,0,0,12.2061,0.1928,42,1,4
0,0,0,11.8494,0.6879,30,2,3
1,1,-2,12.8479,0.0,51,1,1
1,2,2,13.3047,0.7786,53,1,1
0,0,0,12.4684,0.9834,37,1,2
0,0,0,12.2061,0.7839,26,2,1
0,0,0,11.2898,0.9766,42,1,2
0,0,0,10.5966,1.0008,39,1,2
0,1,2,11.7753,0.5464,39,1,3
0,-1,0,10.8198,0.4795,32,1,1
0,-1,-1,12.3458,0.0036,41,2,2
1,0,0,11.1563,0.7275,48,1,2
0,0,0,12.1007,0.8473,38,2,2
0,-1,-1,11.2898,0.0211,36,2,2
0,0,0,12.5776,0.0717,26,2,2
0,0,0,12.3458,0.131,28,2,1
0,1,-2,12.0436,0.0,56,2,3
1,-1,0,12.3458,0.9063,59,1,1
1,0,0,12.3014,0.9672,38,1,1
0,0,0,12.3458,0.1222,32,1,2
0,0,0,13.1224,0.1187,38,1,2
0,-1,-1,11.4076,0.0684,41,2,1
1,0,0,12.8739,0.9108,35,2,3
0,0,0,12.8992,0.9155,41,2,2
0,-1,-1,12.1007,0.0163,34,1,2
0,1,2,11.0021,0.4882,38,1,3
0,-1,-1,11.6952,0.0346,32,2,2
0,0,0,11.0021,0.4533,29,2,2
0,0,0,10.8198,1.0179,44,1,1
0,0,0,11.1563,0.9537,37,2,2
0,-1,2,13.1224,0.0012,38,2,1
0,-2,-2,12.2061,0.0,31,1,1
0,0,0,12.4292,0.1797,40,2,2
1,0,0,11.8494,0.9383,26,1,2
0,0,0,11.1563,0.5895,28,2,2
0,1,2,11.4076,0.8623,48,1,3
0,-1,-1,11.5129,0.0249,43,2,2
0,0,0,12.1548,0.9345,31,1,2
0,-1,-1,12.3458,0.0298,42,2,1
0,0,0,12.6761,0.293,39,1,2
1,-1,-1,12.3014,0.0018,36,2,2
0,-1,-1,12.4684,0.0632,34,2,1
0,-2,-2,11.4076,0.0064,32,2,2
0,2,2,10.309,0.9568,43,2,2
0,0,0,12.4684,0.3791,30,1,2
0,0,0,12.0436,0.1665,28,2,2
1,0,0,11.2898,0.1072,28,2,1
0,-1,-1,10.8198,0.0102,41,1,1
0,0,0,12.2061,1.0159,47,2,3
0,0,0,9.9035,0.822,23,1,2
0,-1,-1,12.4292,0.0003,49,2,1
0,0,0,9.9035,0.7956,38,1,1
0,0,0,10.309,0.6781,38,2,2
0,1,2,11.4076,0.257,35,2,2
0,0,0,12.3458,0.9634,46,2,6
1,0,0,11.7753,0.1474,33,2,1
0,-2,-2,10.309,0.0,53,1,6
0,-1,-1,11.9829,0.0025,35,1,1
0,-1,-1,13.1224,0.0079,43,2,2
0,0,0,12.1007,0.2347,28,2,2
0,0,0,11.2898,0.2688,30,2,2
0,-1,-1,11.6952,0.0074,26,1,1
0,-1,-1,11.7753,0.0097,31,1,2
1,-1,-1,11.6952,0.002,35,2,2
0,-1,-1,12.7939,0.0562,28,1,1
1,2,2,10.8198,0.5902,23,1,2
0,0,0,9.9035,0.9178,23,2,2
0,0,0,11.5129,0.9426,56,1,3
0,0,0,11.1563,0.982,32,1,3
0,0,0,10.8198,0.2783,47,1,2
0,1,2,9.2103,1.025,22,2,2
0,0,0,12.5776,0.3236,34,2,1
0,0,0,10.309,0.5499,31,2,1
0,1,-1,12.9239,-0.0001,27,2,2
1,-1,-1,12.7939,0.0034,28,1,1
1,0,0,11.8494,0.7964,42,2,2
0,0,0,12.2549,0.3208,32,2,1
0,-1,-1,12.3014,0.0077,27,2,2
0,1,2,9.9035,0.9324,27,1,2
1,2,2,13.3375,0.2594,45,2,2
0,1,-2,12.7939,-0.0,26,1,1
0,-1,-1,9.9035,0.9382,21,2,2
0,0,0,10.8198,0.691,23,1,2
0,0,0,10.8198,1.9508,30,1,2
1,0,0,9.2103,0.4073,46,1,2
1,2,0,11.5129,0.5385,50,2,3
0,-2,-2,10.8198,0.0482,26,1,1
0,-1,-1,11.0021,0.008,25,1,2
0,0,0,12.9945,0.7517,35,2,1
0,0,0,11.6952,0.7667,44,1,2
0,0,0,10.8198,0.0651,52,2,1
0,1,2,11.6082,0.8422,40,2,2
0,-1,-1,12.2061,0.002,38,2,1
0,1,-2,11.9184,0.0,28,2,1
1,2,3,10.309,0.9593,36,2,2
0,0,0,11.5129,0.3009,24,2,1
0,-1,0,12.7939,0.0343,34,2,1
0,0,0,12.8739,0.1298,31,2,1
1,1,-2,12.3014,-0.0003,41,2,1
0,-2,-2,11.9829,0.0,25,2,2
0,-1,-1,12.3458,0.0104,28,2,1
0,0,0,11.6952,0.437,27,1,1
1,0,0,11.5129,0.0466,52,1,3
1,-1,-1,12.1548,0.1484,41,2,1
1,0,0,10.8198,1.0143,56,1,1
0,1,-1,12.3884,0.0,42,2,1
0,-2,-2,10.5966,0.8821,24,2,2
0,0,0,13.3535,0.0601,47,2,2
0,-2,-2,11.9829,0.0327,33,2,1
0,0,0,11.6082,0.5936,32,2,2
0,0,0,9.9035,0.8604,29,1,2
0,0,0,12.2549,0.2723,53,2,3
0,-1,-1,12.5062,0.0214,34,1,1
0,-2,-2,12.7939,0.0018,52,2,2
0,-1,-1,11.0021,0.0105,42,2,2
0,-1,0,12.7939,0.301,38,1,2
0,2,2,12.8739,0.0021,45,2,1
0,-2,-2,12.4292,0.029,35,2,3
1,0,0,11.4076,0.146,24,2,1
0,-1,-1,12.7939,0.0196,28,1,1
0,0,0,10.8198,0.7086,26,1,3
0,0,0,12.5062,0.0694,40,2,1
0,1,-1,12.2061,0.2789,29,2,1
0,0,0,10.8198,0.9962,23,2,2
0,-1,-1,12.7657,0.0311,33,1,1
1,-2,-1,11.9829,0.0196,60,2,2
0,-1,-1,11.2898,0.0421,49,2,3
1,2,0,12.5776,0.9642,53,1,1
0,-1,-1,12.5062,0.0018,28,2,1
0,-1,-1,11.2898,0.0749,31,1,1
0,0,0,10.8198,0.1039,36,1,2
0,-2,-1,10.309,0.2599,35,1,2
1,1,-1,10.309,0.0,28,1,2
0,-1,0,11.4076,0.3976,33,1,2
0,-1,-1,11.9829,0.009,26,1,1
0,0,0,11.2898,0.9721,53,2,3
0,0,0,10.8198,1.006,42,1,2
0,0,0,9.9035,0.7302,25,2,1
1,1,-2,12.3014,0.0,43,1,1
1,-1,-1,12.2549,0.042,25,1,3
0,0,0,11.7753,1.0121,29,2,2
0,-1,-1,12.4684,0.0225,31,2,2
0,0,0,12.3458,0.1319,30,2,1
0,0,0,11.9829,0.5203,34,1,1
0,0,0,10.8198,0.6995,35,1,1
0,0,0,11.2898,0.6093,32,1,2
0,0,0,11.6082,0.5155,46,1,3
0,0,0,12.2061,0.7234,43,1,1
0,0,0,12.7939,0.7448,29,1,2
0,1,-2,12.2549,0.0,31,2,3
0,2,0,11.2898,0.9905,24,2,2
1,-1,-1,12.6115,-0.0016,36,2,2
0,0,0,12.6443,0.0755,43,2,2
1,-1,-1,10.309,0.013,59,1,3
0,0,0,12.0436,0.1051,53,1,1
0,2,2,11.8494,0.1889,28,2,2
0,1,-2,12.1007,0.0,31,2,2
0,1,2,10.8198,0.4549,34,1,1
0,0,0,10.8198,0.1843,36,2,2
0,0,0,11.6082,0.3717,24,2,1
0,-2,-2,13.017,0.0089,36,2,3
0,-1,-1,12.2061,0.002,34,2,2
0,0,0,12.3014,0.2008,43,1,1
1,0,0,12.7939,0.0091,29,2,1
0,0,0,10.8198,0.9645,37,1,2
0,2,2,10.5966,0.9162,23,1,2
0,1,2,12.1548,0.6055,37,2,2
0,0,0,11.9184,0.1448,33,1,1
0,1,-2,12.2061,0.0,37,2,1
0,0,0,12.5062,0.5104,56,2,2
0,0,0,11.0021,0.9806,25,1,1
0,0,0,12.2061,0.4042,39,2,2
0,0,0,11.9184,0.241,39,2,2
0,-1,-1,12.1007,0.0019,28,2,2
